are mixed in row of R_sa,rows of R
300,[96]
372,[265]
535,[810]
511,[23]
560,[30]
191,[280]
405,[568]
632,[259]
23,[331]
368,[323]
190,[422]
426,[467]
543,[286]
778,[893]
526,[868]
42,[638]
352,[538]
247,[499]
273,[481]
545,[334]
493,[848]
149,[770]
504,[925]
629,[39]
188,[363]
93,[764]
548,[307]
598,[444]
527,[713]
667,[704]
411,[76]
509,[817]
709,[595]
433,[371]
407,[165]
690,[755]
20,[250]
582,[882]
524,[436]
559,[239]
550,[107]
491,[67]
276,[174]
720,[158]
671,[139]
579,[754]
202,[731]
357,[306]
425,[532]
115,[694]
449,[802]
628,[63]
219,[235]
422,[765]
777,[899]
297,[86]
185,[692]
271,[723]
204,[778]
640,[516]
533,[660]
438,[587]
314,[326]
394,[218]
694,[209]
519,[656]
554,[70]
492,[928]
508,[649]
254,[468]
429,[846]
134,[199]
735,[479]
364,[447]
575,[521]
207,[675]
414,[940]
462,[136]
49,[208]
651,[625]
551,[213]
733,[572]
307,[355]
324,[621]
647,[72]
610,[477]
371,[44]
165,[891]
203,[590]
388,[613]
21,[506]
737,[266]
78,[168]
611,[332]
534,[451]
770,[309]
154,[260]
621,[606]
70,[938]
749,[822]
82,[433]
69,[327]
34,[730]
437,[885]
473,[302]
725,[617]
494,[60]
635,[247]
783,[707]
334,[409]
696,[210]
685,[669]
367,[388]
275,[66]
604,[351]
65,[275]
125,[523]
759,[559]
569,[380]
376,[261]
514,[448]
484,[896]
135,[585]
239,[254]
289,[281]
264,[852]
29,[497]
464,[120]
241,[110]
648,[615]
30,[424]
57,[884]
137,[192]
166,[892]
303,[929]
99,[541]
398,[370]
259,[588]
351,[425]
256,[137]
47,[311]
251,[728]
661,[305]
656,[705]
91,[507]
523,[522]
211,[862]
32,[673]
90,[394]
293,[534]
383,[78]
416,[598]
55,[793]
505,[780]
448,[429]
298,[605]
481,[528]
44,[853]
173,[65]
539,[141]
614,[784]
27,[526]
59,[774]
338,[626]
736,[310]
742,[744]
613,[680]
678,[382]
37,[611]
240,[49]
738,[685]
283,[404]
706,[412]
444,[850]
205,[829]
278,[825]
415,[937]
229,[198]
330,[542]
305,[33]
774,[31]
66,[703]
104,[449]
478,[359]
601,[832]
337,[551]
471,[109]
67,[77]
252,[215]
724,[244]
124,[82]
212,[316]
729,[350]
159,[465]
213,[344]
679,[2]
232,[101]
754,[453]
529,[631]
162,[231]
122,[5]
565,[54]
763,[321]
472,[906]
98,[352]
445,[787]
496,[97]
313,[758]
220,[773]
210,[900]
699,[599]
772,[903]
455,[664]
261,[887]
168,[25]
332,[84]
106,[10]
73,[603]
109,[333]
335,[428]
522,[667]
489,[941]
92,[118]
466,[318]
71,[519]
315,[29]
487,[55]
51,[672]
374,[319]
257,[622]
507,[722]
76,[196]
61,[552]
381,[81]
248,[677]
396,[657]
561,[583]
183,[298]
270,[827]
771,[328]
123,[204]
366,[211]
343,[569]
350,[796]
36,[314]
698,[290]
745,[462]
652,[602]
515,[439]
120,[227]
567,[806]
316,[904]
356,[296]
206,[751]
237,[688]
389,[59]
779,[342]
517,[879]
463,[408]
456,[398]
141,[547]
2,[7]
572,[155]
64,[890]
460,[420]
722,[576]
184,[734]
715,[533]
244,[292]
662,[543]
408,[878]
616,[362]
769,[482]
744,[548]
268,[870]
246,[593]
250,[630]
420,[228]
169,[921]
412,[687]
726,[212]
331,[79]
495,[148]
583,[720]
436,[442]
643,[299]
717,[423]
182,[294]
170,[133]
344,[581]
373,[650]
486,[417]
342,[0]
387,[665]
646,[514]
446,[312]
272,[863]
102,[876]
677,[494]
485,[172]
322,[847]
175,[346]
593,[365]
498,[849]
413,[90]
702,[883]
365,[181]
85,[274]
386,[842]
