are mixed in row of R_sa,rows of R
0,"[589, 642]"
1,"[302, 422]"
2,"[273, 247]"
3,"[328, 931]"
4,"[589, 891]"
5,"[326, 16]"
6,"[723, 253]"
7,"[295, 724]"
8,"[819, 386]"
9,"[704, 863]"
10,"[214, 780]"
11,"[331, 863]"
12,"[144, 322]"
13,"[170, 757]"
14,"[663, 490]"
15,"[193, 611]"
16,"[725, 249]"
17,"[210, 620]"
18,"[324, 152]"
19,"[279, 222]"
20,"[144, 819]"
21,"[393, 896]"
22,"[917, 576]"
23,"[348, 221]"
24,"[879, 498]"
25,"[59, 547]"
26,"[323, 605]"
27,"[430, 15]"
28,"[678, 832]"
29,"[260, 390]"
30,"[288, 296]"
31,"[531, 759]"
32,"[746, 934]"
33,"[879, 276]"
34,"[937, 12]"
35,"[879, 325]"
36,"[192, 221]"
37,"[721, 94]"
38,"[169, 569]"
39,"[547, 506]"
40,"[587, 620]"
41,"[796, 89]"
42,"[473, 655]"
43,"[556, 716]"
44,"[270, 269]"
45,"[278, 676]"
46,"[420, 93]"
47,"[895, 427]"
48,"[861, 87]"
49,"[626, 752]"
50,"[150, 194]"
51,"[151, 193]"
52,"[377, 465]"
53,"[214, 177]"
54,"[451, 79]"
55,"[592, 817]"
56,"[82, 431]"
57,"[18, 499]"
58,"[786, 84]"
59,"[540, 456]"
60,"[747, 896]"
61,"[463, 598]"
62,"[380, 471]"
63,"[893, 587]"
64,"[333, 373]"
65,"[833, 406]"
66,"[120, 94]"
67,"[726, 206]"
68,"[294, 807]"
69,"[915, 759]"
70,"[729, 424]"
71,"[770, 17]"
72,"[91, 289]"
73,"[409, 605]"
74,"[264, 150]"
75,"[17, 238]"
76,"[684, 412]"
77,"[404, 104]"
78,"[634, 300]"
79,"[879, 878]"
80,"[254, 209]"
81,"[267, 128]"
82,"[920, 695]"
83,"[763, 377]"
84,"[258, 814]"
85,"[747, 738]"
86,"[809, 46]"
87,"[373, 58]"
88,"[337, 942]"
89,"[747, 162]"
90,"[121, 94]"
91,"[715, 208]"
92,"[312, 549]"
93,"[379, 584]"
94,"[255, 634]"
95,"[716, 184]"
96,"[776, 415]"
97,"[732, 327]"
98,"[503, 632]"
99,"[107, 550]"
100,"[140, 566]"
101,"[126, 220]"
102,"[681, 851]"
103,"[628, 902]"
104,"[249, 567]"
105,"[763, 880]"
106,"[642, 225]"
107,"[373, 871]"
108,"[929, 784]"
109,"[133, 641]"
110,"[157, 729]"
111,"[118, 601]"
112,"[118, 405]"
113,"[67, 200]"
114,"[225, 212]"
115,"[157, 6]"
116,"[12, 366]"
117,"[139, 29]"
118,"[184, 177]"
119,"[397, 134]"
120,"[157, 189]"
121,"[94, 721]"
122,"[763, 818]"
123,"[446, 536]"
124,"[529, 342]"
125,"[801, 331]"
126,"[201, 357]"
127,"[486, 859]"
128,"[248, 883]"
129,"[384, 44]"
130,"[733, 861]"
131,"[258, 119]"
132,"[278, 213]"
133,"[649, 437]"
134,"[926, 828]"
135,"[168, 397]"
136,"[437, 104]"
137,"[414, 300]"
138,"[388, 24]"
139,"[911, 654]"
140,"[762, 177]"
141,"[329, 413]"
142,"[207, 238]"
143,"[120, 896]"
144,"[655, 233]"
145,"[168, 624]"
146,"[925, 863]"
147,"[711, 587]"
148,"[56, 797]"
149,"[570, 763]"
150,"[605, 503]"
151,"[95, 436]"
152,"[587, 334]"
153,"[649, 437]"
154,"[908, 12]"
155,"[388, 908]"
156,"[494, 225]"
157,"[741, 554]"
158,"[56, 624]"
159,"[255, 434]"
160,"[302, 195]"
161,"[654, 52]"
162,"[739, 499]"
163,"[278, 472]"
164,"[187, 536]"
165,"[388, 21]"
166,"[322, 587]"
167,"[372, 379]"
168,"[431, 492]"
169,"[199, 801]"
170,"[24, 388]"
171,"[617, 245]"
172,"[726, 116]"
173,"[490, 845]"
174,"[647, 682]"
175,"[681, 623]"
176,"[882, 409]"
177,"[516, 644]"
178,"[391, 734]"
179,"[699, 390]"
180,"[144, 314]"
181,"[587, 475]"
182,"[885, 531]"
183,"[520, 560]"
184,"[511, 298]"
185,"[595, 392]"
186,"[95, 406]"
187,"[510, 213]"
188,"[871, 467]"
189,"[838, 674]"
190,"[59, 184]"
191,"[65, 758]"
192,"[489, 129]"
193,"[763, 473]"
194,"[521, 735]"
195,"[379, 221]"
196,"[347, 76]"
197,"[739, 464]"
198,"[360, 777]"
199,"[597, 895]"
200,"[806, 296]"
201,"[14, 183]"
202,"[361, 415]"
203,"[545, 721]"
204,"[30, 295]"
205,"[170, 857]"
206,"[696, 64]"
207,"[587, 911]"
208,"[48, 210]"
209,"[229, 143]"
210,"[398, 280]"
211,"[940, 938]"
212,"[59, 492]"
213,"[737, 311]"
214,"[307, 332]"
215,"[25, 313]"
216,"[228, 233]"
217,"[91, 689]"
218,"[358, 6]"
219,"[396, 557]"
220,"[806, 340]"
221,"[460, 19]"
222,"[280, 773]"
223,"[716, 386]"
224,"[663, 464]"
225,"[14, 520]"
226,"[642, 210]"
227,"[550, 620]"
228,"[12, 825]"
229,"[288, 93]"
230,"[59, 542]"
231,"[84, 289]"
232,"[789, 259]"
233,"[486, 915]"
234,"[279, 378]"
235,"[886, 145]"
236,"[513, 845]"
237,"[397, 560]"
238,"[515, 404]"
239,"[436, 750]"
240,"[464, 906]"
241,"[17, 411]"
242,"[847, 312]"
243,"[333, 51]"
244,"[566, 712]"
245,"[337, 177]"
246,"[663, 177]"
247,"[443, 471]"
248,"[8, 517]"
249,"[587, 99]"
250,"[913, 177]"
251,"[233, 328]"
252,"[481, 574]"
253,"[50, 631]"
254,"[213, 526]"
255,"[316, 435]"
256,"[293, 726]"
257,"[860, 804]"
258,"[866, 315]"
259,"[319, 537]"
260,"[732, 290]"
261,"[627, 384]"
262,"[670, 604]"
263,"[403, 388]"
264,"[825, 141]"
265,"[561, 742]"
266,"[866, 432]"
267,"[867, 300]"
268,"[338, 561]"
269,"[397, 428]"
270,"[889, 514]"
271,"[866, 87]"
272,"[879, 862]"
273,"[895, 180]"
274,"[212, 6]"
275,"[125, 446]"
276,"[832, 724]"
277,"[797, 447]"
278,"[531, 684]"
279,"[388, 187]"
280,"[412, 805]"
281,"[601, 133]"
282,"[360, 294]"
283,"[170, 270]"
284,"[158, 244]"
285,"[664, 128]"
286,"[748, 380]"
287,"[458, 257]"
288,"[545, 206]"
289,"[82, 168]"
290,"[288, 302]"
291,"[297, 720]"
292,"[216, 169]"
293,"[896, 355]"
294,"[663, 494]"
295,"[343, 108]"
296,"[656, 644]"
297,"[926, 353]"
298,"[181, 733]"
299,"[895, 306]"
