are mixed in row of R_sa,rows of R
0,[589]
1,[217]
2,[150]
3,[273]
4,[598]
5,[907]
6,[917]
7,[589]
8,[639]
9,[767]
10,[800]
11,[16]
12,[185]
13,[562]
14,[777]
15,[908]
16,[541]
17,[810]
18,[15]
19,[863]
20,[92]
21,[495]
22,[298]
23,[647]
24,[863]
25,[31]
26,[700]
27,[931]
28,[521]
29,[650]
30,[631]
31,[892]
32,[193]
33,[888]
34,[449]
35,[935]
36,[457]
37,[191]
38,[620]
39,[716]
40,[312]
41,[915]
42,[732]
43,[152]
44,[713]
45,[538]
46,[144]
47,[819]
48,[139]
49,[602]
50,[492]
51,[931]
52,[41]
53,[641]
54,[45]
55,[879]
56,[193]
57,[707]
58,[91]
59,[802]
60,[561]
61,[205]
62,[168]
63,[15]
64,[157]
65,[715]
66,[750]
67,[59]
68,[288]
69,[296]
70,[287]
71,[89]
72,[82]
73,[311]
74,[934]
75,[295]
76,[879]
77,[276]
78,[942]
79,[325]
80,[483]
81,[622]
82,[12]
83,[48]
84,[758]
85,[221]
86,[664]
87,[453]
88,[505]
89,[732]
90,[344]
91,[547]
92,[3]
93,[123]
94,[422]
95,[796]
96,[759]
97,[215]
98,[783]
99,[488]
100,[390]
101,[15]
102,[895]
103,[427]
104,[418]
105,[59]
106,[456]
107,[752]
108,[150]
109,[839]
110,[151]
111,[498]
112,[844]
113,[605]
114,[916]
115,[769]
116,[803]
117,[79]
118,[592]
119,[42]
120,[706]
121,[67]
122,[803]
123,[499]
124,[469]
125,[429]
126,[84]
127,[456]
128,[590]
129,[615]
130,[733]
131,[764]
132,[133]
133,[453]
134,[771]
135,[629]
136,[229]
137,[183]
138,[856]
139,[880]
140,[869]
141,[95]
142,[628]
143,[726]
144,[206]
145,[294]
146,[825]
147,[324]
148,[819]
149,[261]
150,[211]
151,[508]
152,[91]
153,[107]
154,[409]
155,[148]
156,[264]
157,[153]
158,[430]
159,[755]
160,[936]
161,[412]
162,[404]
163,[104]
164,[481]
165,[300]
166,[889]
167,[35]
168,[878]
169,[183]
170,[481]
171,[209]
172,[805]
173,[128]
174,[70]
175,[695]
176,[446]
177,[377]
178,[814]
179,[747]
180,[698]
181,[210]
182,[46]
183,[876]
184,[942]
185,[591]
186,[162]
187,[121]
188,[97]
189,[554]
190,[391]
191,[732]
192,[326]
193,[125]
194,[6]
195,[497]
196,[785]
197,[559]
198,[824]
199,[65]
200,[246]
201,[632]
202,[107]
203,[299]
204,[796]
205,[544]
206,[566]
207,[373]
208,[237]
209,[393]
210,[851]
211,[628]
212,[902]
213,[367]
214,[20]
215,[806]
216,[889]
217,[880]
218,[642]
219,[118]
220,[856]
221,[871]
222,[428]
223,[886]
224,[133]
225,[827]
226,[863]
227,[577]
228,[225]
229,[825]
230,[848]
231,[67]
232,[258]
233,[848]
234,[318]
235,[336]
236,[719]
237,[325]
238,[366]
239,[139]
240,[29]
241,[635]
242,[497]
243,[436]
244,[863]
245,[704]
246,[94]
247,[721]
248,[806]
249,[446]
250,[229]
251,[536]
252,[342]
253,[560]
254,[251]
255,[581]
256,[55]
257,[357]
258,[904]
259,[859]
260,[550]
261,[731]
262,[42]
263,[883]
264,[435]
265,[416]
266,[200]
267,[119]
268,[346]
269,[649]
270,[509]
271,[200]
272,[828]
273,[168]
274,[199]
275,[475]
276,[509]
277,[203]
278,[377]
279,[300]
280,[503]
281,[388]
282,[730]
283,[641]
284,[488]
285,[177]
286,[849]
287,[413]
288,[485]
289,[285]
290,[120]
291,[778]
292,[233]
293,[168]
294,[59]
295,[848]
296,[212]
297,[497]
298,[123]
299,[56]
300,[690]
301,[154]
302,[570]
303,[806]
304,[612]
305,[465]
306,[503]
307,[120]
308,[436]
309,[587]
310,[334]
311,[649]
312,[437]
313,[908]
314,[54]
315,[388]
316,[902]
317,[753]
318,[549]
319,[848]
320,[796]
321,[926]
322,[741]
323,[554]
324,[193]
325,[659]
326,[280]
327,[302]
328,[524]
329,[103]
330,[0]
331,[923]
332,[325]
333,[265]
334,[710]
335,[756]
336,[388]
337,[536]
338,[786]
339,[921]
340,[322]
341,[629]
342,[898]
343,[803]
344,[896]
345,[75]
346,[560]
347,[388]
348,[670]
349,[757]
350,[689]
351,[110]
352,[386]
353,[228]
354,[845]
355,[648]
356,[682]
357,[693]
358,[681]
359,[12]
360,[882]
361,[559]
362,[63]
363,[459]
364,[931]
365,[410]
366,[159]
367,[699]
368,[808]
369,[144]
370,[599]
371,[123]
372,[436]
373,[879]
374,[287]
375,[144]
376,[888]
377,[188]
378,[94]
379,[298]
380,[302]
381,[257]
382,[185]
383,[789]
384,[659]
385,[684]
386,[406]
387,[55]
388,[217]
389,[496]
390,[93]
391,[506]
392,[659]
393,[59]
394,[486]
395,[446]
396,[187]
397,[735]
398,[379]
399,[45]
400,[190]
401,[12]
402,[428]
403,[677]
404,[295]
405,[496]
406,[201]
407,[227]
408,[365]
409,[460]
410,[413]
411,[361]
412,[176]
413,[685]
414,[157]
415,[188]
416,[295]
417,[187]
418,[566]
419,[696]
420,[64]
421,[617]
422,[911]
423,[210]
424,[143]
425,[95]
426,[127]
427,[452]
428,[940]
429,[938]
430,[788]
431,[492]
432,[400]
433,[345]
434,[307]
435,[714]
436,[232]
437,[882]
438,[228]
439,[384]
440,[21]
441,[757]
442,[522]
443,[473]
444,[209]
445,[750]
446,[310]
447,[552]
448,[767]
449,[404]
450,[14]
451,[681]
452,[434]
453,[428]
454,[156]
455,[732]
456,[901]
457,[810]
458,[663]
459,[351]
460,[14]
461,[102]
462,[642]
463,[457]
464,[550]
465,[620]
466,[325]
467,[321]
468,[184]
469,[882]
470,[15]
471,[925]
472,[542]
473,[765]
474,[589]
475,[536]
476,[392]
477,[693]
478,[486]
479,[371]
480,[454]
481,[95]
482,[279]
483,[378]
484,[57]
485,[145]
486,[513]
487,[845]
488,[397]
489,[877]
490,[108]
491,[592]
492,[62]
493,[274]
494,[464]
495,[430]
496,[847]
497,[856]
498,[912]
499,[51]
500,[857]
501,[797]
502,[497]
503,[428]
504,[855]
505,[424]
506,[471]
507,[587]
508,[498]
509,[177]
510,[787]
511,[523]
512,[574]
513,[866]
514,[749]
515,[217]
516,[199]
517,[606]
518,[316]
519,[145]
520,[439]
521,[860]
522,[128]
523,[519]
524,[239]
525,[315]
526,[871]
527,[319]
528,[537]
529,[732]
530,[384]
531,[17]
532,[17]
533,[617]
534,[604]
535,[403]
536,[388]
537,[56]
538,[283]
539,[333]
540,[775]
541,[866]
542,[562]
543,[636]
544,[88]
545,[76]
546,[338]
547,[466]
548,[475]
549,[428]
550,[889]
551,[177]
552,[357]
553,[879]
554,[862]
555,[55]
556,[180]
557,[927]
558,[212]
559,[6]
560,[379]
561,[763]
562,[832]
563,[908]
564,[797]
565,[69]
566,[499]
567,[861]
568,[388]
569,[388]
570,[907]
571,[412]
572,[267]
573,[825]
574,[375]
575,[360]
576,[232]
577,[388]
578,[28]
579,[621]
580,[267]
581,[97]
582,[90]
583,[78]
584,[797]
585,[496]
586,[863]
587,[531]
588,[473]
589,[575]
590,[168]
591,[288]
592,[213]
593,[297]
594,[822]
595,[169]
596,[245]
597,[262]
598,[492]
599,[330]
600,[650]
601,[494]
602,[343]
603,[108]
604,[656]
605,[193]
606,[931]
607,[926]
608,[338]
609,[825]
610,[416]
611,[895]
612,[306]
613,[311]
614,[654]
615,[895]
616,[23]
617,[716]
618,[320]
619,[406]
620,[133]
621,[848]
622,[906]
623,[938]
