are mixed in row of R_sa,rows of R
151,0
190,5
234,6
168,9
477,10
684,11
350,12
82,15
85,23
72,25
272,42
399,48
448,55
355,57
23,58
678,61
133,62
97,63
22,65
384,72
635,78
213,81
62,82
750,84
681,89
775,90
352,91
624,93
455,94
206,98
424,101
544,102
609,103
598,105
610,108
664,112
682,114
743,115
772,116
347,118
208,122
391,124
528,126
559,127
748,129
652,135
715,140
451,143
754,144
550,148
353,150
139,151
644,153
694,157
320,158
201,159
556,162
530,167
99,173
358,175
80,176
322,177
475,180
537,183
731,184
464,185
51,187
78,188
93,189
558,192
326,193
472,194
557,196
220,197
65,199
301,200
698,203
515,204
607,206
121,208
769,209
69,212
586,213
554,214
236,215
722,219
129,220
107,221
704,222
379,223
728,226
734,228
266,230
440,231
717,232
489,233
423,234
449,235
390,237
465,238
703,242
299,243
564,245
755,246
0,248
522,249
8,250
497,252
365,253
332,254
276,256
286,258
549,261
452,262
9,263
330,264
281,267
454,268
711,269
13,270
226,273
518,274
462,275
392,276
183,278
604,279
196,282
629,284
531,285
565,286
77,290
157,291
426,292
697,293
210,295
270,296
37,297
261,298
676,300
634,302
718,303
292,304
147,306
580,307
351,310
407,312
112,313
6,315
349,317
441,319
411,320
231,322
714,323
642,324
639,326
463,327
11,328
548,329
778,330
182,331
693,332
318,333
473,335
285,338
290,341
767,342
125,343
162,344
302,345
319,346
337,347
274,348
256,349
732,353
509,354
416,355
194,356
27,358
443,359
461,362
410,364
321,366
606,371
47,372
126,375
214,376
662,377
667,378
295,379
260,380
506,384
36,386
297,387
579,388
590,389
248,390
553,391
437,392
605,393
422,394
205,396
362,398
215,399
90,400
505,402
373,403
599,406
316,407
495,408
742,410
683,412
402,413
2,414
587,415
154,416
773,418
504,419
759,421
269,423
176,424
420,425
541,427
114,428
583,429
710,430
617,431
406,432
222,433
466,434
377,435
460,436
458,437
118,439
674,441
612,443
614,444
21,446
34,448
113,449
513,451
764,452
306,453
600,454
593,455
442,456
314,457
296,458
770,459
150,460
467,461
623,462
434,463
519,464
35,465
279,466
10,467
719,469
626,471
568,473
370,474
166,475
383,476
257,477
560,478
483,479
768,482
435,483
111,484
204,485
312,486
646,487
381,489
371,492
123,493
178,494
680,495
83,496
741,497
749,498
122,499
409,500
512,501
16,502
671,503
733,504
167,505
524,506
766,508
177,509
668,511
428,512
523,513
385,514
230,516
675,519
1,520
450,522
200,523
592,524
140,525
310,527
12,528
249,529
723,530
92,531
43,532
91,534
159,535
404,536
492,537
229,539
447,540
120,541
665,542
690,543
225,544
209,545
625,546
238,547
94,548
268,549
425,550
40,551
445,552
471,553
638,554
158,555
529,558
661,559
521,560
496,561
508,562
670,564
75,565
498,566
84,567
264,568
403,572
128,574
632,575
24,576
752,577
103,578
398,579
688,581
342,583
637,585
224,586
70,587
119,588
283,590
444,591
89,592
143,593
747,594
777,595
60,598
628,599
545,600
252,601
577,602
687,603
478,604
746,605
517,607
136,609
591,611
382,612
677,613
691,614
333,615
240,616
534,617
300,619
109,620
180,621
429,622
401,623
265,624
705,626
485,627
288,628
432,629
619,630
100,631
562,632
160,633
124,634
727,635
651,636
4,638
781,639
543,640
50,641
105,642
218,643
762,644
585,645
375,646
289,647
74,648
457,649
563,651
538,652
137,653
533,654
361,656
419,657
535,658
324,659
546,660
298,661
776,662
327,663
368,664
173,665
613,666
566,667
643,668
311,670
575,671
780,672
101,673
325,675
239,676
708,677
131,678
645,679
468,680
367,681
293,682
116,683
484,688
654,689
184,690
474,691
138,692
738,694
641,696
439,697
532,698
397,700
511,702
68,703
232,704
520,705
716,706
412,707
594,709
569,710
774,711
417,713
679,714
110,715
480,716
427,720
761,722
394,724
187,725
735,726
510,728
701,729
430,731
258,733
603,734
396,735
186,736
339,738
354,739
653,740
262,741
308,742
418,743
721,744
329,745
307,746
175,747
197,748
588,749
736,750
622,751
737,752
64,754
104,755
633,756
433,757
527,758
33,759
490,760
596,761
132,762
388,764
765,765
202,767
280,768
597,769
779,770
315,771
696,772
18,777
636,779
699,781
730,782
621,783
106,785
341,786
702,787
695,788
551,789
108,790
86,793
408,794
782,795
237,796
57,797
359,798
491,799
692,801
79,802
338,803
547,804
469,805
271,806
275,807
223,808
745,809
608,812
193,813
134,815
277,816
570,817
203,818
386,819
334,820
552,822
648,824
156,826
25,827
170,828
76,829
336,830
212,831
389,832
117,833
255,834
494,835
26,837
555,841
164,842
195,843
41,844
387,846
243,847
141,848
713,849
481,850
155,851
602,853
313,855
740,856
685,857
46,858
53,859
19,860
415,861
153,862
287,863
55,864
493,866
49,867
669,868
149,869
343,870
227,872
700,873
499,874
346,875
251,876
88,877
198,878
217,879
540,880
488,881
436,882
739,883
486,886
263,887
500,888
516,889
666,890
192,891
712,892
763,893
17,894
221,895
576,896
291,897
273,898
152,899
335,901
672,903
572,904
446,905
235,906
539,907
161,909
189,910
242,912
29,914
303,915
640,917
323,918
507,919
686,920
438,922
179,923
673,926
191,929
364,930
514,931
395,932
3,933
172,934
400,936
253,937
135,938
61,939
66,940
659,941
542,942
657,"445, 814"
372,"17, 169"
219,"928, 811"
756,"1, 171"
456,"321, 154"
578,"19, 87"
660,"64, 239"
573,"669, 935"
650,"289, 490"
376,"26, 34"
647,"776, 309"
503,"618, 557"
658,"224, 556"
30,"259, 491"
581,"283, 708"
28,"225, 79"
374,"854, 287"
707,"580, 142"
453,"401, 318"
724,"385, 109"
561,"784, 426"
5,"885, 655"
476,"50, 51"
42,"753, 22"
366,"339, 573"
582,"155, 29"
345,"217, 210"
631,"240, 174"
706,"838, 374"
317,"908, 53"
115,"56, 584"
39,"792, 409"
282,"145, 730"
340,"216, 130"
144,"137, 481"
7,"18, 54"
73,"440, 218"
615,"21, 190"
567,"67, 766"
331,"201, 31"
96,"305, 685"
171,"925, 606"
181,"227, 52"
32,"417, 763"
344,"260, 381"
56,"845, 791"
620,"368, 83"
584,"610, 900"
630,"521, 14"
487,"3, 92"
52,"712, 921"
656,"721, 404"
185,"131, 38"
233,"836, 687"
250,"723, 637"
81,"198, 166"
744,"99, 397"
771,"924, 156"
169,"596, 117"
309,"141, 119"
58,"164, 695"
611,"40, 281"
71,"582, 510"
54,"236, 871"
145,"363, 839"
102,"507, 852"
536,"420, 165"
304,"195, 367"
294,"138, 60"
174,"97, 107"
20,"211, 134"
393,"133, 271"
284,"825, 571"
15,"718, 447"
356,"301, 13"
267,"336, 106"
663,"16, 30"
278,"438, 47"
254,"45, 207"
348,"625, 311"
165,"288, 480"
729,"450, 294"
199,"73, 470"
726,"121, 163"
363,"538, 395"
360,"314, 244"
245,"80, 168"
709,"488, 181"
601,"111, 71"
649,"927, 727"
48,"2, 66"
725,"265, 182"
459,"139, 693"
63,"74, 774"
95,"36, 39"
87,"125, 775"
241,"28, 44"
479,"686, 351"
414,"178, 405"
228,"8, 35"
378,"533, 357"
207,"773, 518"
571,"32, 4"
421,"810, 902"
328,"597, 149"
244,"674, 69"
188,"96, 350"
753,"337, 563"
689,"136, 277"
247,"170, 247"
616,"172, 100"
655,"308, 373"
618,"41, 46"
216,"202, 186"
146,"650, 884"
760,"160, 800"
31,"104, 370"
246,"515, 37"
501,"699, 732"
470,"608, 86"
38,"352, 369"
720,"24, 33"
142,"152, 517"
405,"778, 382"
59,"161, 719"
14,"280, 526"
45,"147, 85"
211,"840, 229"
482,"911, 191"
502,"442, 916"
44,"334, 70"
526,"570, 20"
574,"43, 684"
413,"360, 316"
757,"76, 383"
130,"241, 75"
627,"468, 68"
127,"411, 132"
163,"780, 821"
259,"865, 27"
67,"128, 266"
357,"110, 255"
305,"737, 823"
595,"361, 59"
431,"365, 422"
380,"88, 257"
369,"120, 569"
525,"123, 589, 205"
758,"472, 113, 701"
148,"146, 299, 325"
98,"179, 77, 251"
751,"49, 913, 7"
589,"95, 272, 340, 717"
