Genre,Male,Female,Children,Family
Action,0.589941973,0.410058027,0,0
Adventure,0.398157454,0.268509213,0,0.333333333
Animation,0.151434196,0.098565804,0.625,0.125
Children,0,0,1,0
Comedy,0.262256974,0.237743026,0.25,0.25
Crime,0.35,0.38,0,0.27
Documentary,0.333333333,0.333333333,0,0.333333333
Drama,0.447916667,0.552083333,0,0
Fantasy,0.571098266,0.428901734,0,0
Series,0.297524315,0.369142352,0,0.333333333
Horror,0.58629131,0.41370869,0,0
Musical,0.05,0.35,0.45,0.15
Mystery,0.569444444,0.430555556,0,0
Romance,0.37020316,0.62979684,0,0
Sci-Fi,0.504417671,0.162248996,0,0.333333333
Thriller,0.539486204,0.460513796,0,0
War,0.634538153,0.365461847,0,0
Western,0.638253638,0.361746362,0,0
