,Man,Children,Woman,Family
0,0.25443,0.20583,0.20865,0.299145
1,0.347721,0.27444,0.1391,0.29106
2,0.25443,0.20583,0.229515,0.27489
3,0.25443,0.27444,0.271245,0.218295
4,0.135696,0,0.40339,0.21021
5,0.245949,0.13722,0.22256,0.299145
6,0.186582,0.13722,0.44512,0.105105
7,0.356202,0.06861,0.18083,0.250635
8,0.288354,0.27444,0.19474,0.27489
9,0.228987,0,0.19474,0.363825
10,0.186582,0.27444,0.312975,0.234465
11,0.262911,0.13722,0.25038,0.25872
12,0.25443,0,0.20865,0.3234
13,0.220506,0.13722,0.299065,0.234465
14,0.262911,0.20583,0.285155,0.21021
15,0.144177,0.13722,0.37557,0.218295
16,0.195063,0.13722,0.33384,0.218295
17,0.237468,0.41166,0.18083,0.3234
18,0.296835,0.13722,0.18083,0.299145
19,0.033924,0.13722,0.479895,0.202125
20,0.313797,0,0.25038,0.218295
21,0.296835,0.06861,0.19474,0.29106
22,0.288354,0.13722,0.22256,0.25872
23,0.245949,0.20583,0.271245,0.234465
24,0.262911,0.48027,0.20865,0.25872
25,0.127215,0,0.43121,0.185955
26,0.25443,0.41166,0.243425,0.22638
27,0.449493,0.27444,0.146055,0.169785
28,0.212025,0.13722,0.312975,0.22638
29,0.220506,0.13722,0.271245,0.27489
30,0.262911,0,0.31993,0.185955
31,0.330759,0.06861,0.229515,0.218295
32,0.203544,0.54888,0.271245,0.234465
33,0.161139,0.13722,0.326885,0.250635
34,0.118734,0.13722,0.36166,0.25872
35,0.364683,0,0.19474,0.22638
36,0.279873,0.34305,0.201695,0.25872
37,0.245949,0.61749,0.257335,0.202125
38,0.262911,0.06861,0.257335,0.250635
39,0.220506,0.20583,0.229515,0.30723
40,0.245949,0.20583,0.201695,0.315315
41,0.093291,0.13722,0.424255,0.218295
42,0.245949,0.41166,0.25038,0.22638
43,0.245949,0.20583,0.26429,0.24255
44,0.245949,0,0.29211,0.234465
45,0.228987,0.96054,0.229515,0.202125
46,0.050886,0,0.382525,0.30723
47,0.203544,0.6861,0.271245,0.22638
48,0.288354,0.13722,0.16692,0.3234
49,0.305316,0.48027,0.19474,0.234465
50,0.212025,0.82332,0.19474,0.27489
51,0.322278,0.06861,0.22256,0.234465
52,0.288354,0.41166,0.215605,0.234465
53,0.101772,0,0.340795,0.30723
54,0.237468,0.20583,0.23647,0.29106
55,0.25443,1.02915,0.16692,0.250635
56,0.262911,0.27444,0.25038,0.234465
57,0.237468,0.75471,0.19474,0.266805
58,0.245949,0.34305,0.30602,0.169785
59,0.228987,0.13722,0.243425,0.29106
60,0.093291,0.13722,0.312975,0.347655
61,0.212025,0.20583,0.26429,0.27489
62,0.245949,0.54888,0.18083,0.299145
63,0.203544,0.34305,0.229515,0.30723
64,0.245949,0.34305,0.229515,0.25872
65,0.356202,0.6861,0.18083,0.185955
66,0.364683,0.54888,0.132145,0.250635
67,0.322278,0.20583,0.16692,0.27489
68,0.237468,0.13722,0.312975,0.21021
69,0.279873,0.13722,0.23647,0.250635
70,0.203544,0.54888,0.271245,0.22638
71,0.25443,0,0.257335,0.266805
72,0.237468,0.20583,0.23647,0.282975
73,0.228987,0.54888,0.243425,0.24255
74,0.415569,0.27444,0.159965,0.19404
75,0.220506,0.13722,0.299065,0.234465
76,0.33924,0.41166,0.215605,0.185955
77,0.25443,0.34305,0.18083,0.315315
78,0.220506,0.34305,0.31993,0.185955
79,0.161139,0.41166,0.299065,0.266805
80,0.279873,0.06861,0.23647,0.266805
81,0.195063,0.41166,0.285155,0.24255
82,0.245949,0.41166,0.243425,0.24255
83,0.322278,0.48027,0.132145,0.29106
84,0.220506,0.06861,0.30602,0.234465
85,0.161139,0.20583,0.30602,0.266805
86,0.161139,0.34305,0.2782,0.29106
87,0.356202,0.20583,0.215605,0.19404
88,0.152658,0.34305,0.382525,0.185955
89,0.178101,0.20583,0.326885,0.234465
90,0.203544,0.20583,0.312975,0.218295
91,0.16962,0.13722,0.34775,0.22638
92,0.262911,0.41166,0.229515,0.250635
93,0.296835,0.13722,0.23647,0.234465
94,0.356202,0.48027,0.187785,0.202125
95,0.407088,0.06861,0.146055,0.24255
96,0.203544,0.20583,0.2782,0.266805
97,0.288354,0.34305,0.229515,0.22638
98,0.161139,0.06861,0.33384,0.25872
99,0.08481,0.27444,0.36166,0.282975
100,0.288354,0.41166,0.243425,0.202125
101,0.25443,0.34305,0.201695,0.29106
102,0.313797,0.20583,0.201695,0.250635
103,0.212025,0.13722,0.201695,0.35574
104,0.271392,0.89193,0.20865,0.202125
105,0.262911,0.41166,0.187785,0.29106
106,0.279873,0.54888,0.271245,0.153615
107,0.271392,0.27444,0.215605,0.25872
108,0.237468,0.27444,0.229515,0.282975
109,0.313797,0.54888,0.132145,0.29106
110,0.237468,0.41166,0.2782,0.218295
111,0.144177,0.20583,0.26429,0.33957
112,0.135696,0.61749,0.26429,0.299145
113,0.203544,0.34305,0.29211,0.234465
114,0.245949,0.27444,0.257335,0.24255
115,0.178101,0.27444,0.31993,0.24255
116,0.16962,0.48027,0.215605,0.33957
117,0.228987,0.06861,0.31993,0.21021
118,0.161139,0.06861,0.34775,0.24255
119,0.25443,0.54888,0.19474,0.282975
120,0.161139,0.48027,0.22256,0.33957
121,0.152658,0.41166,0.243425,0.331485
122,0.195063,0.13722,0.312975,0.250635
123,0.245949,0.06861,0.285155,0.22638
124,0.178101,0.20583,0.26429,0.30723
125,0.195063,0.27444,0.2782,0.266805
126,0.067848,0,0.36166,0.3234
127,0.25443,0.48027,0.23647,0.234465
128,0.245949,0.06861,0.23647,0.282975
129,0.245949,0.13722,0.19474,0.331485
130,0.203544,0.06861,0.340795,0.21021
131,0.245949,0.48027,0.243425,0.234465
132,0.16962,0.27444,0.326885,0.234465
133,0.135696,0.27444,0.299065,0.299145
134,0.356202,0.20583,0.104325,0.331485
135,0.25443,0.06861,0.25038,0.27489
136,0.203544,0.34305,0.312975,0.21021
137,0.203544,0.48027,0.229515,0.29106
138,0.245949,0.13722,0.30602,0.21021
139,0.127215,0.13722,0.340795,0.27489
140,0.212025,0.20583,0.257335,0.29106
141,0.330759,0.54888,0.29211,0.088935
142,0.195063,0.13722,0.271245,0.29106
143,0.245949,0,0.368615,0.14553
144,0.220506,0.13722,0.25038,0.299145
145,0.237468,0.20583,0.271245,0.234465
146,0.178101,0.89193,0.243425,0.250635
147,0.313797,0.48027,0.19474,0.218295
148,0.347721,0.20583,0.201695,0.218295
149,0.203544,0.06861,0.26429,0.299145
150,0.212025,0.34305,0.257335,0.266805
151,0.228987,0.27444,0.25038,0.266805
152,0.296835,0,0.271245,0.202125
153,0.203544,0.06861,0.285155,0.27489
154,0.271392,0.34305,0.19474,0.282975
155,0.390126,0.6861,0.08346,0.25872
156,0.237468,0,0.23647,0.30723
157,0.305316,0.13722,0.215605,0.24255
