,0,1,2,3
0,112,425.0,262.0,178.0
1,277,319.0,864.0,
2,402,650.0,639.0,
3,113,213.0,880.0,
4,623,771.0,85.0,
5,212,393.0,851.0,
6,693,886.0,,
7,897,673.0,,
8,292,804.0,,
9,766,314.0,,
10,606,841.0,,
11,206,790.0,,
12,940,318.0,,
13,883,403.0,,
14,339,837.0,,
15,43,743.0,,
16,466,798.0,,
17,898,330.0,,
18,310,749.0,,
19,92,776.0,,
20,151,661.0,,
21,376,234.0,,
22,696,381.0,,
23,939,514.0,,
24,187,548.0,,
25,154,34.0,,
26,561,253.0,,
27,222,863.0,,
28,437,462.0,,
29,755,373.0,,
30,932,621.0,,
31,179,387.0,,
32,46,334.0,,
33,631,680.0,,
34,788,668.0,,
35,896,189.0,,
36,439,435.0,,
37,363,395.0,,
38,491,333.0,,
39,416,617.0,,
40,592,918.0,,
41,202,805.0,,
42,846,28.0,,
43,871,348.0,,
44,554,142.0,,
45,276,728.0,,
46,719,807.0,,
47,389,715.0,,
48,645,472.0,,
49,632,410.0,,
50,591,143.0,,
51,913,475.0,,
52,517,56.0,,
53,129,532.0,,
54,209,312.0,,
55,830,407.0,,
56,163,688.0,,
57,144,648.0,,
58,64,642.0,,
59,271,748.0,,
60,353,457.0,,
61,508,286.0,,
62,268,91.0,,
63,95,573.0,,
64,308,366.0,,
65,787,392.0,,
66,67,497.0,,
67,916,653.0,,
68,165,588.0,,
69,772,889.0,,
70,399,553.0,,
71,225,139.0,,
72,682,288.0,,
73,71,301.0,,
74,94,921.0,,
75,571,894.0,,
76,13,264.0,,
77,72,649.0,,
78,404,280.0,,
79,912,868.0,,
80,207,513.0,,
81,672,812.0,,
82,346,406.0,,
83,11,870.0,,
84,332,39.0,,
85,756,59.0,,
86,429,854.0,,
87,201,98.0,,
88,882,245.0,,
89,835,3.0,,
90,47,258.0,,
91,596,60.0,,
92,316,524.0,,
93,630,817.0,,
94,272,313.0,,
95,612,216.0,,
96,935,627.0,,
97,405,153.0,,
98,236,239.0,,
99,697,785.0,,
100,128,145.0,,
101,665,190.0,,
102,840,20.0,,
103,887,55.0,,
104,832,295.0,,
105,468,705.0,,
106,455,740.0,,
107,709,311.0,,
108,652,200.0,,
109,615,521.0,,
110,244,537.0,,
111,291,465.0,,
112,539,936.0,,
113,273,551.0,,
114,394,926.0,,
115,58,86.0,,
116,378,401.0,,
